MSE,Model
-4.49245502048,Base
-3.64847277239,Base
-2.83693427108,Base
-2.98139154944,Base
-1.24880579823,Base
-3.36371982425,XGBoost
-2.64726405013,XGBoost
-1.90771423402,XGBoost
-2.3519481687,XGBoost
-1.06086428072,XGBoost
-3.75529532025,Iteration 1
-2.80380969155,Iteration 1
-2.03240142524,Iteration 1
-2.30764878753,Iteration 1
-0.876678565332,Iteration 1
-3.41069930834,Iteration 2
-2.79489937323,Iteration 2
-1.99720349156,Iteration 2
-2.34616739048,Iteration 2
-0.831398279369,Iteration 2
-2.75416263333,Iteration 3
-1.98548429049,Iteration 3
-1.71963972715,Iteration 3
-2.61873441653,Iteration 3
-1.7061734174,Iteration 3
-2.55398413996,Iteration 4
-2.62934334934,Iteration 4
-1.38861711869,Iteration 4
-2.32149162119,Iteration 4
-1.31165453512,Iteration 4
-2.91867346447,Iteration 5
-2.29493519979,Iteration 5
-1.77656422135,Iteration 5
-2.17976836392,Iteration 5
-0.85035810982,Iteration 5
-2.8022691077,Iteration 6
-2.28339343098,Iteration 6
-1.69903431386,Iteration 6
-2.13128282206,Iteration 6
-0.882686083706,Iteration 6
